time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
0.06,-7.657826224352535e-06,2.3875961824630843e-05,10.0036977108609,0.005603014993436517,0.001688768970214305,0.0,-0.00044967679069741486,0.0014153833940766,0.12324958922697787,-0.02715768279161676,-0.015486046879057976,0.0,444.329833386105,443.0587549820846,445.8477717503963,443.6238542246404,0.9997443477358179
0.12000000000000001,-7.407102742498167e-05,0.00024792076113622544,10.018821297177913,0.005107316182692223,0.0010310380746352266,0.0,-0.0016757643482852777,0.00597717863791484,0.38081978356216867,-0.016632088395443594,-0.010854097320175024,0.0,483.49985866470416,483.84876959311515,484.6537160667976,485.44402274882145,0.9983151509624635
0.18,-0.00022943354196323598,0.0007711040923109246,10.04851725368599,0.013239476504047332,0.007070244820013727,0.0,-0.004269287918654271,0.012487185071514374,0.6089408576720524,-0.05095396468528481,-0.040414253092159,0.0,478.4014468324859,476.14567937517955,476.0642130595801,473.430918329594,0.9949868655718479
0.23999999999999996,-0.0006377113184509068,0.0018109684642430312,10.090030044632504,0.010909802626926535,0.005303196510973329,0.0,-0.009133173591868896,0.021925271227345812,0.7747250894014167,-0.0615749160091362,-0.03264910933327977,0.0,457.2900167308888,457.9074197224344,458.2774576868732,457.430684186521,0.9899442329388972
0.3,-0.0012939395694360632,0.0033537491972581287,10.140444222371485,0.00906119489851509,0.0038430994214406766,0.0,-0.012577946081010396,0.02928811023743639,0.9056553979280135,-0.04784383039732452,-0.02601967519395689,0.0,446.65027770240437,447.1902421116699,447.0226069778977,448.13775472944275,0.9836069613404326
0.36000000000000004,-0.0021848229414956465,0.005324883767867394,10.200198837170444,0.00982599513132687,0.015589516149421279,0.0,-0.018410974924855484,0.03652731045743381,1.0859998765348646,-0.06996524582313447,0.012759698594861717,0.0,461.5935653549157,464.6433924467662,462.8539685149527,461.10797332471077,0.9761048041515623
0.4200000000000001,-0.0036781441059489297,0.007736967286254914,10.271506602699455,0.00695740804713374,0.019868570078465098,0.0,-0.03184305395356575,0.043522878109758426,1.290711815070381,-0.058478629879118886,0.032127982863359265,0.0,470.0566561646901,471.5549891589819,469.0971334487334,469.98515234887464,0.9671644719552106
0.48000000000000015,-0.005989564954266027,0.01047295403930173,10.351050650373882,0.003467988675702749,0.0220037362618406,0.0,-0.045417173180673606,0.04733489594687664,1.3606728541410578,-0.057740769322349075,0.025795706168661788,0.0,429.02011279413705,428.4825007979924,429.1991519843126,429.2592763558353,0.956908923948194
0.5400000000000001,-0.009211687699152748,0.013403460661140851,10.437069721615849,0.006445048642631512,0.024757738515069683,0.0,-0.062296914378361726,0.05070371071759985,1.5064391215043822,-0.08676960609928645,0.012504666240489758,0.0,452.9777142278001,451.9077454124786,454.87172432292164,452.53792978154223,0.9458629628709829
0.6000000000000002,-0.013610700106168085,0.016591892397298368,10.536265328682989,0.00139211129069583,0.025813792516774292,0.0,-0.08447415868519013,0.05492243718185085,1.799665940951599,-0.09242324649175314,0.0051294936066558685,0.0,496.4216910382286,495.88013439944746,497.3754946313277,496.9556650399519,0.9334405760950439
0.6600000000000003,-0.019195121332886308,0.01989686337347361,10.646505872560608,6.279551962354535,0.026311054789866617,0.0,-0.10171557075432575,0.054757947252770764,1.8748967039686042,-0.10161347754183493,0.008846740682528524,0.0,430.6224597689157,430.93666856210837,434.0902726512612,433.31041221195875,0.9192919302112901
0.7200000000000003,-0.025875518903234612,0.02311175704439698,10.76301728826624,6.281109285754312,0.02783478050884014,0.0,-0.12113461791707608,0.05260721450631637,2.008586444416574,-0.13314466680752365,-0.0033345871683726925,0.0,451.6487174487063,450.6651750279839,451.9949849468578,449.4357510536084,0.904313678743117
0.7800000000000004,-0.03395538910817849,0.02617911334342482,10.893297421855467,6.274564720142543,0.03676290104028368,0.0,-0.1494302765884029,0.04877456456507219,2.3334360321152574,-0.14756433344155417,-0.03765293723116819,0.0,508.48896867849044,506.02473874680396,507.2776798852154,506.22613523517356,0.8879901981607925
0.8400000000000004,-0.04387420446556256,0.028849582603322613,11.040647677236823,6.2657878343982265,0.0444674914631209,0.0,-0.1820862082980286,0.03916965680405297,2.5776710797954814,-0.15203323086425025,-0.004254026297982872,0.0,484.6244118703397,487.12809553783075,485.65447094874577,485.3003590528905,0.8694959839722749
0.9000000000000005,-0.055498181506047226,0.030904465719374972,11.193358073905525,6.258557380203117,0.04424242037338555,0.0,-0.20537210659069308,0.02875164803153782,2.5128085225772243,-0.13812041585645204,-0.007703527775106731,0.0,388.62796653200365,388.3045915287742,387.3966509238658,388.6788661102677,0.8497404355309428
0.9600000000000005,-0.06899658830064999,0.03195533098145709,11.352669207763475,6.252397667159814,0.047738663615572996,0.0,-0.2449712435301145,0.005521422690400875,2.7968683295409607,-0.1553445768737034,0.01292436465032901,0.0,496.6828884194767,498.19340198128754,498.92635362454104,497.6503523352665,0.8296351210576374
1.0200000000000005,-0.0849318435508214,0.03161252880799996,11.528384437896934,6.277315394661786,0.051130621268298704,0.0,-0.2865788868876908,-0.013862126470526523,3.059680058480201,-0.09243580594455657,0.029484370016983903,0.0,492.55335128483915,493.77643147355707,490.92116135121427,495.55207444586176,0.8077185062081735
1.0800000000000005,-0.10335556777696131,0.030664239140505475,11.717247757912396,6.2821170862032165,0.06447122425750695,0.0,-0.328987214316869,-0.01723937020349875,3.235193690481495,-0.0583775254255829,0.06556719504258762,0.0,468.0093945279392,470.8104007604495,467.76202097472117,470.4018286456844,0.7840379963797457
